"Year","Offence_Type","Gender_Accused","Relationship_Type","Total_Offences","Cleared_Offences","Clearance_Rate"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","female","partnership","19","0","0"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","female","Total","19","1","0.052632"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","male","former partnership","19","9","0.473684"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","male","other family relationship","19","2","0.105263"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","male","parent-child relationship","19","6","0.315789"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","male","partnership","19","0","0"
"2009","Sexual acts with persons incapable of judgement or resistance (art. 191)","male","Total","19","16","0.842105"
"2009","Sexual harassment (art. 198)","female","former partnership","53","0","0"
"2009","Sexual harassment (art. 198)","female","other family relationship","53","0","0"
"2009","Sexual harassment (art. 198)","female","parent-child relationship","53","1","0.018868"
"2009","Sexual harassment (art. 198)","female","partnership","53","0","0"
"2009","Sexual harassment (art. 198)","female","Total","53","1","0.018868"
"2009","Sexual harassment (art. 198)","male","former partnership","53","30","0.566038"
"2009","Sexual harassment (art. 198)","male","other family relationship","53","4","0.075472"
"2009","Sexual harassment (art. 198)","male","parent-child relationship","53","11","0.207547"
"2009","Sexual harassment (art. 198)","male","partnership","53","7","0.132075"
"2009","Sexual harassment (art. 198)","male","Total","53","52","0.981132"
"2009","Threatening behaviour (art. 180)","female","former partnership","4303","118","0.027423"
"2009","Threatening behaviour (art. 180)","female","other family relationship","4303","68","0.015803"
"2009","Threatening behaviour (art. 180)","female","parent-child relationship","4303","44","0.010225"
"2009","Threatening behaviour (art. 180)","female","partnership","4303","276","0.064141"
"2009","Threatening behaviour (art. 180)","female","Total","4303","497","0.115501"
"2009","Threatening behaviour (art. 180)","male","former partnership","4303","1085","0.25215"
"2009","Threatening behaviour (art. 180)","male","other family relationship","4303","273","0.063444"
"2009","Threatening behaviour (art. 180)","male","parent-child relationship","4303","340","0.079015"
"2009","Threatening behaviour (art. 180)","male","partnership","4303","1970","0.45782"
"2009","Threatening behaviour (art. 180)","male","Total","4303","3469","0.806182"
"2009","Total domestic violence","female","former partnership","16055","360","0.022423"
"2009","Total domestic violence","female","other family relationship","16055","181","0.011274"
"2009","Total domestic violence","female","parent-child relationship","16055","279","0.017378"
"2009","Total domestic violence","female","partnership","16055","1001","0.062348"
"2009","Total domestic violence","female","Total","16055","1772","0.110371"
"2009","Total domestic violence","male","former partnership","16055","1951","0.12152"
"2009","Total domestic violence","male","other family relationship","16055","616","0.038368"
"2009","Total domestic violence","male","parent-child relationship","16055","947","0.058985"
"2009","Total domestic violence","male","partnership","16055","4435","0.276238"
"2009","Total domestic violence","male","Total","16055","7476","0.465649"
"2009","Willful defamation (art. 174)","female","former partnership","107","30","0.280374"
"2009","Willful defamation (art. 174)","female","other family relationship","107","17","0.158879"
"2009","Willful defamation (art. 174)","female","parent-child relationship","107","5","0.046729"
"2009","Willful defamation (art. 174)","female","partnership","107","13","0.121495"
"2009","Willful defamation (art. 174)","female","Total","107","64","0.598131"
"2009","Willful defamation (art. 174)","male","former partnership","107","25","0.233645"
"2009","Willful defamation (art. 174)","male","other family relationship","107","17","0.158879"
"2009","Willful defamation (art. 174)","male","parent-child relationship","107","5","0.046729"
"2009","Willful defamation (art. 174)","male","partnership","107","4","0.037383"
"2009","Willful defamation (art. 174)","male","Total","107","50","0.46729"
"2010","Abandonment (art. 127)","female","former partnership","9","0","0"
"2010","Abandonment (art. 127)","female","other family relationship","9","0","0"
"2010","Abandonment (art. 127)","female","parent-child relationship","9","2","0.222222"
"2010","Abandonment (art. 127)","female","partnership","9","0","0"
"2010","Abandonment (art. 127)","female","Total","9","2","0.222222"
"2010","Abandonment (art. 127)","male","former partnership","9","0","0"
"2010","Abandonment (art. 127)","male","other family relationship","9","0","0"
"2010","Abandonment (art. 127)","male","parent-child relationship","9","5","0.555556"
"2010","Abandonment (art. 127)","male","partnership","9","1","0.111111"
"2010","Abandonment (art. 127)","male","Total","9","6","0.666667"
"2010","Acts of aggression (art. 126)","female","former partnership","4841","142","0.029333"
"2010","Acts of aggression (art. 126)","female","other family relationship","4841","73","0.01508"
"2010","Acts of aggression (art. 126)","female","parent-child relationship","4841","141","0.029126"
"2010","Acts of aggression (art. 126)","female","partnership","4841","574","0.118571"
"2010","Acts of aggression (art. 126)","female","Total","4841","905","0.186945"
"2010","Acts of aggression (art. 126)","male","former partnership","4841","623","0.128692"
"2010","Acts of aggression (art. 126)","male","other family relationship","4841","169","0.03491"
"2010","Acts of aggression (art. 126)","male","parent-child relationship","4841","451","0.093163"
"2010","Acts of aggression (art. 126)","male","partnership","4841","2411","0.498038"
"2010","Acts of aggression (art. 126)","male","Total","4841","3491","0.721132"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","female","former partnership","4","0","0"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","female","other family relationship","4","0","0"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","female","parent-child relationship","4","1","0.25"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","female","partnership","4","1","0.25"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","female","Total","4","2","0.5"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","male","former partnership","4","2","0.5"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","male","other family relationship","4","0","0"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","male","parent-child relationship","4","1","0.25"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","male","partnership","4","0","0"
"2010","Acts preparatory to the commission of an offence (art. 260bis)","male","Total","4","3","0.75"
"2010","Administering substances capable of causing injury to children (art. 136)","female","former partnership","6","0","0"
"2010","Administering substances capable of causing injury to children (art. 136)","female","other family relationship","6","0","0"
"2010","Administering substances capable of causing injury to children (art. 136)","female","parent-child relationship","6","2","0.333333"
"2010","Administering substances capable of causing injury to children (art. 136)","female","partnership","6","0","0"
"2010","Administering substances capable of causing injury to children (art. 136)","female","Total","6","2","0.333333"
"2010","Administering substances capable of causing injury to children (art. 136)","male","former partnership","6","0","0"
"2010","Administering substances capable of causing injury to children (art. 136)","male","other family relationship","6","2","0.333333"
"2010","Administering substances capable of causing injury to children (art. 136)","male","parent-child relationship","6","1","0.166667"
"2010","Administering substances capable of causing injury to children (art. 136)","male","partnership","6","0","0"
"2010","Administering substances capable of causing injury to children (art. 136)","male","Total","6","3","0.5"
"2010","Coercion (art. 181)","female","former partnership","673","21","0.031204"
"2010","Coercion (art. 181)","female","other family relationship","673","7","0.010401"
"2010","Coercion (art. 181)","female","parent-child relationship","673","7","0.010401"
"2010","Coercion (art. 181)","female","partnership","673","25","0.037147"
"2010","Coercion (art. 181)","female","Total","673","60","0.089153"
"2010","Coercion (art. 181)","male","former partnership","673","235","0.349183"
"2010","Coercion (art. 181)","male","other family relationship","673","39","0.057949"
"2010","Coercion (art. 181)","male","parent-child relationship","673","47","0.069837"
"2010","Coercion (art. 181)","male","partnership","673","282","0.419019"
"2010","Coercion (art. 181)","male","Total","673","589","0.875186"
"2010","Common assault (art. 123)","female","former partnership","2197","64","0.029131"
"2010","Common assault (art. 123)","female","other family relationship","2197","32","0.014565"
"2010","Common assault (art. 123)","female","parent-child relationship","2197","60","0.02731"
"2010","Common assault (art. 123)","female","partnership","2197","262","0.119254"
"2010","Common assault (art. 123)","female","Total","2197","411","0.187073"
"2010","Common assault (art. 123)","male","former partnership","2197","328","0.149294"
"2010","Common assault (art. 123)","male","other family relationship","2197","107","0.048703"
"2010","Common assault (art. 123)","male","parent-child relationship","2197","180","0.08193"
"2010","Common assault (art. 123)","male","partnership","2197","1073","0.488393"
"2010","Common assault (art. 123)","male","Total","2197","1630","0.741921"
"2010","Defamation (art. 173)","female","former partnership","132","28","0.212121"
"2010","Defamation (art. 173)","female","other family relationship","132","17","0.128788"
"2010","Defamation (art. 173)","female","parent-child relationship","132","6","0.045455"
"2010","Defamation (art. 173)","female","partnership","132","14","0.106061"
"2010","Defamation (art. 173)","female","Total","132","63","0.477273"
"2010","Defamation (art. 173)","male","former partnership","132","27","0.204545"
"2010","Defamation (art. 173)","male","other family relationship","132","20","0.151515"
"2010","Defamation (art. 173)","male","parent-child relationship","132","7","0.05303"
"2010","Defamation (art. 173)","male","partnership","132","14","0.106061"
"2010","Defamation (art. 173)","male","Total","132","67","0.507576"
"2010","Endangering life (art. 129)","female","former partnership","169","3","0.017751"
"2010","Endangering life (art. 129)","female","other family relationship","169","2","0.011834"
